Date,S&P500,AAL,ALGT,ALK,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,FB,GOOG,IBM,MSFT
15-04-2020,2783.360107,12.29,77.720001,30.08,24.35,11.69,32.82,4.33,8.09,6.23,178.520004,38.400002,28.440001000000002,17.540001,147.66000400000001,82.07,35.970001,40.09,281.679993,71.10749799999999,2307.679932,176.970001,1262.469971,118.690002,171.880005
16-04-2020,2799.550049,11.07,72.550003,28.26,22.780001000000002,10.76,30.68,4.3,7.83,6.22,177.03999299999998,38.360001000000004,26.889999,16.92,149.669998,83.0,35.880001,41.790001000000004,298.429993,71.672501,2408.189941,176.25,1263.469971,115.730003,177.03999299999998
17-04-2020,2874.560059,11.57,74.989998,29.93,24.27,11.51,31.190001000000002,4.55,8.24,6.54,183.490005,39.09,28.379998999999998,17.41,152.020004,83.459999,36.91,42.630001,290.559998,70.699997,2375.0,179.240005,1283.25,120.120003,178.600006
20-04-2020,2823.159912,11.06,71.989998,29.23,23.639999,11.54,31.059998999999998,4.44,8.13,6.33,180.399994,38.360001000000004,27.68,17.24,151.669998,83.099998,36.080002,43.209998999999996,282.140015,69.23249799999999,2393.610107,178.240005,1266.609985,120.410004,175.059998
21-04-2020,2736.560059,11.0,72.720001,28.290001,23.1,11.43,30.110001,4.26,7.76,6.08,173.809998,36.950001,26.84,16.24,149.679993,78.559998,35.619999,43.349998,274.190002,67.092499,2328.1201170000004,170.800003,1216.339966,116.760002,167.820007
22-04-2020,2799.310059,10.27,71.08000200000001,27.530001000000002,22.469998999999998,11.41,29.709999,4.27,7.89,6.09,175.979996,37.810001,26.799999,16.360001,152.990005,79.980003,36.25,44.639998999999996,277.019989,69.025002,2363.48999,182.279999,1263.209961,119.309998,173.520004
23-04-2020,2797.800049,10.25,70.040001,28.200001,22.48,11.27,30.139999,4.39,7.88,6.18,175.050003,37.470001,26.530001000000002,16.32,155.509995,80.879997,36.689999,44.18,285.329987,68.7575,2399.449951,185.130005,1276.310059,121.349998,171.419998
24-04-2020,2836.73999,10.31,69.58000200000001,28.01,22.41,11.44,29.33,4.42,8.08,5.95,177.0,37.970001,26.92,16.92,154.860001,81.43,37.380001,45.060001,291.290009,70.7425,2410.219971,190.070007,1279.310059,124.720001,174.550003
27-04-2020,2878.47998,10.02,69.57,27.85,22.16,11.52,29.110001,4.53,8.38,6.69,183.53999299999998,39.310001,28.41,18.110001,154.28999299999998,83.980003,38.330002,44.889998999999996,293.980011,70.792503,2376.0,187.5,1275.880005,125.91999799999999,174.050003
28-04-2020,2863.389893,11.26,76.970001,31.58,24.34,13.6,29.690001000000002,4.87,8.84,6.85,187.009995,40.130001,28.870001000000002,17.52,151.389999,81.18,37.91,45.279999,288.359985,69.644997,2314.080078,182.91000400000001,1233.670044,126.269997,169.809998
